Category,Line,Target λ (μm),Matched λ (μm),Intensity (MJy/sr),Error (MJy/sr)
PAHs,PAH 6.2,6.2,6.200332816947927,5558.678739759657,66.95883943633515
PAHs,PAH 7.7,7.7,7.69998684376567,6239.918955277423,63.25257524440626
PAHs,PAH 8.6,8.6,8.599650954751388,7862.196742466518,60.50772761690002
PAHs,PAH 11.3,11.3,11.299726285677915,12097.52490234375,77.8150175144049
PAHs,PAH 12.7,12.7,12.699652218135682,12719.077446831598,115.76939098640744
PAHs,PAH 16.4,16.4,16.39946334956206,20751.192626953125,220.6723750283071
PAHs,PAH 17.4,17.4,17.400675605834127,22778.775282118055,233.12135232147736
H₂,H₂(1),17.035,17.034138440761552,22777.509602864582,253.25209382992944
H₂,H₂(2),12.279,12.278995471642995,12912.152886284723,115.41093690637662
H₂,H₂(3),9.664,9.66393714987361,11000.674990699405,90.63998242341255
H₂,H₂(4),8.025,8.024901138911156,6823.281279894771,65.98750384028762
H₂,H₂(5),6.909,6.909201310470751,6548.199719087577,68.8164013907097
H₂,H₂(6),6.108,6.108231129562842,5382.179404364691,66.1133325779818
H₂,H₂(7),5.511,5.510751177517977,4846.801160270785,63.58200033189701
H₂,H₂(8),5.052,5.051817128411103,3656.3717979148582,60.43046846354062
Neon,Ne(II),12.81354,12.81281134292319,29648.960774739582,233.54970256551306
Neon,Ne(III),15.55505,15.555689875603044,33020.833333333336,364.93224245354213
Neon,Ne(V)(3P2-3P1),14.32168,14.320779681598225,22493.606201171875,207.08204892550233
Neon,Ne(V)(3P1-3P0),24.3175,24.319372076330616,33549.496744791664,266.47207063550843
Neon,Ne(VI),7.6524,7.652656808646052,11250.813267299107,111.97758219095891
Iron,Fe(III),22.925,22.92407175736967,18004.48193359375,184.57699191625952
Iron,Fe(II)(a6D7/2-a6D9/2),25.98839,25.990191205496938,30544.828776041668,267.33375947932535
Iron,Fe(II)(a4F9/2-a6D9/2),5.340169,5.33993009920547,4345.39311689212,62.79640707478971
Sulfur,S(III),18.71303,18.71258445054579,26912.653645833332,255.6641229519933
Sulfur,S(IV),10.51049,10.510465970304825,14556.854561941964,115.80756837597976
Argon,Ar(II),6.985274,6.985559119670351,8868.328146098573,91.9484364309635
Argon,Ar(III),8.99138,8.991083137092012,10004.714041573661,84.92272120019824
Magnesium,Mg(V),5.6098,5.609937384992256,5694.325992160373,74.3175324890121
Magnesium,Mg(VII),5.5033,5.5036664323345095,4501.88540461034,66.61283488712833
Other,Cl(II),14.3678,14.367519320097413,15101.360161675348,137.95501929302856
Other,O(IV),25.8903,25.88982397865656,46001.275716145836,385.764280679299
Other,Co(III),16.391,16.392083406641135,20572.728352864582,228.4431806768938
